Survey,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_9,Q14_10,Q15_1,Q15_3,Q17_1,Q17_2,Q18_1,Q19.1_1,Q19.1_2,Q19.2_1,Q19.2_2,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q13b_1,Q13b_2,Q13b_3,Q13b_4,Q13b_5,Q13b_6,Q13b_7,Q13b_8,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Continent,Q10,NAvsNonNA,Q5,Q5b,Q1,Q4,Q3_1,Q3_2,AgeCategory,,counter,
1,5,3,4,NA,3,5,4,4,5,5,NA,5,5,5,5,NA,5,5,5,3,3,1,2,2,2,1,2,2,2,1,5,5,4,3,5,5,4,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,6,1,3,5,1,1,,21,"1,  2, 1, 1,"
1,4,4,2,4,2,4,2,2,5,2,4,5,5,5,3,5,5,4,4,5,5,5,2,2,1,1,2,2,2,2,5,5,2,5,3,4,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,1,8,5,1,1,,22,"1,  2, 1, 1,"
1,4,4,4,4,3,4,4,4,4,5,5,5,3,5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,5,5,5,4,4,5,5,5,2,2,2,1,2,2,2,2,2,2,2,2,1,2,6,1,10,8,1,NA,,23,"1,  2, 1, NA,"
1,4,2,2,4,2,5,4,2,4,4,2,5,5,4,4,5,5,4,5,5,5,5,2,2,2,1,2,2,1,1,5,5,4,5,4,5,3,5,2,2,2,1,1,2,2,2,2,2,2,3,1,2,6,1,9,2,1,1,,24,"1,  2, 1, 1,"
1,4,3,3,2,2,3,3,3,4,4,5,5,5,5,5,5,5,4,4,4,4,5,2,2,2,2,2,2,2,2,5,4,3,5,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,6,1,8,5,1,1,,25,"1,  2, 1, 1,"
1,2,2,2,2,3,2,1,1,5,3,3,4,1,1,3,1,4,5,5,5,5,5,2,2,2,1,2,2,2,2,5,5,2,4,3,5,5,5,2,2,2,1,2,2,2,1,2,2,2,1,1,2,11,1,3,5,1,2,,26,"1,  2, 1, 2,"
1,4,2,2,2,2,3,4,4,5,4,4,5,5,1,1,2,5,4,5,5,5,5,2,2,2,2,2,2,2,1,5,5,2,4,2,5,5,5,2,2,2,1,2,1,2,2,2,2,2,1,1,2,6,1,8,5,1,1,,27,"1,  2, 1, 1,"
1,4,4,3,3,2,4,2,2,2,2,5,5,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,5,4,3,4,4,4,4,4,2,2,2,2,2,2,2,1,2,2,2,3,1,2,6,1,8,5,1,1,,28,"1,  2, 1, 1,"
1,4,2,2,4,1,4,1,1,4,1,2,4,1,1,1,NA,1,4,3,4,5,5,2,2,2,1,2,2,2,2,5,4,2,3,3,5,5,5,2,2,2,2,1,2,2,2,2,2,2,1,1,2,41,2,9,5,1,3,,29,"1,  2, 1, 3,"
1,5,5,5,5,5,5,5,5,5,4,3,3,2,2,3,3,3,3,3,4,4,3,2,2,2,2,1,1,1,1,5,2,2,4,2,2,4,4,2,2,2,2,2,2,2,2,1,2,2,1,1,2,42,1,4,8,1,3,,30,"1,  2, 1, 3,"
1,4,4,4,4,3,5,4,4,4,3,4,5,4,4,4,5,5,5,4,5,5,3,1,2,2,2,2,2,2,2,5,5,5,5,4,5,5,5,2,2,2,2,2,2,1,2,2,2,2,2,1,2,47,2,8,8,1,1,,31,"1,  2, 1, 1,"
1,4,4,4,3,2,2,2,3,5,4,2,2,2,3,1,2,1,2,3,2,4,5,1,2,2,1,2,2,1,2,4,4,3,4,4,4,5,5,2,2,2,2,2,2,2,1,2,2,4,2,2,161,NA,1,4,2,1,3,,32,"1,  4, 2, 3,"
1,5,5,5,4,2,5,2,2,5,3,2,2,2,2,2,2,2,5,4,4,4,4,1,2,2,1,1,2,1,1,5,5,2,5,5,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,33,NA,1,3,11,1,2,,33,"1,  2, 1, 2,"
1,4,4,4,2,3,5,5,5,5,4,2,3,2,3,3,2,2,5,2,5,5,5,2,1,2,1,2,2,2,2,5,5,3,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,1,5,5,1,1,,34,"1,  2, 1, 1,"
1,3,1,1,1,1,5,1,1,5,5,2,2,4,4,4,4,4,5,5,3,3,3,2,2,2,2,2,2,2,2,5,1,1,5,1,5,5,5,2,2,2,2,2,2,2,2,1,2,2,3,1,2,10,2,1,13,1,NA,,35,"1,  2, 1, NA,"
1,5,5,5,5,3,5,4,4,5,4,4,4,3,3,3,3,3,2,2,3,3,3,1,2,2,1,1,2,2,2,4,5,5,3,4,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,51,5,10,1,1,3,,36,"1,  2, 1, 3,"
1,3,2,2,4,2,4,2,3,4,3,4,4,2,3,4,3,4,5,4,5,5,5,2,2,2,2,2,2,2,1,4,3,1,3,3,4,4,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,17,3,9,8,1,2,,37,"1,  2, 1, 2,"
1,4,3,5,4,3,2,1,2,4,3,2,2,3,3,1,1,1,5,5,5,4,3,1,1,1,1,2,2,1,2,4,4,5,3,4,5,5,5,2,2,1,2,2,1,1,2,2,2,2,2,1,33,NA,2,9,1,1,3,,38,"1,  2, 1, 3,"
1,2,2,1,3,1,2,1,1,5,2,1,1,2,1,1,2,2,5,5,5,5,5,1,1,2,2,2,2,2,2,5,5,4,2,5,5,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,23,1,9,5,1,3,,39,"1,  2, 1, 3,"
1,4,3,3,5,4,4,2,2,5,3,2,4,1,2,4,2,4,4,3,5,5,4,1,1,1,2,2,2,2,2,5,3,4,4,4,3,5,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,34,2,9,8,1,NA,,40,"1,  2, 1, NA,"
1,5,4,2,4,1,5,3,2,4,1,1,1,1,2,2,2,2,5,4,4,5,5,2,1,2,1,2,2,1,2,5,5,2,5,5,4,5,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,9,5,1,1,,41,"1,  2, 1, 1,"
1,4,4,3,3,2,3,3,2,4,3,2,1,1,2,1,3,1,4,5,3,3,3,1,2,1,1,2,2,2,2,5,5,3,4,3,5,5,5,2,2,2,2,2,2,2,2,1,2,4,2,2,168,NA,1,8,1,1,1,,42,"1,  4, 2, 1,"
1,5,5,5,4,5,5,3,3,4,4,4,4,2,3,1,4,4,4,2,5,5,5,2,2,2,1,2,2,2,2,4,5,2,4,3,4,5,4,2,2,2,2,2,2,2,1,2,2,2,1,1,2,26,2,9,5,1,NA,,43,"1,  2, 1, NA,"
1,NA,NA,NA,NA,NA,5,5,5,5,4,1,1,1,3,3,4,2,5,5,5,3,4,1,2,2,2,1,2,1,2,5,5,5,4,5,5,5,4,2,2,2,2,2,2,2,2,2,2,4,2,2,161,NA,1,8,5,1,1,,44,"1,  4, 2, 1,"
1,5,4,4,4,4,4,3,3,5,4,2,2,2,2,2,2,2,3,2,4,4,4,2,2,2,2,2,2,2,2,4,5,4,5,3,5,5,4,2,2,2,2,2,2,2,2,1,2,4,2,2,50,NA,1,4,5,1,3,,45,"1,  4, 2, 3,"
1,4,4,4,4,3,2,3,3,2,2,4,4,1,1,1,2,2,5,5,5,5,5,2,2,2,2,2,2,2,1,5,4,1,5,2,4,5,5,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,9,16,2,1,,46,"1,  2, 1, 1,"
1,4,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,5,4,3,5,5,2,2,2,1,2,2,2,2,5,5,5,4,4,5,5,4,2,2,2,2,2,2,2,2,2,1,2,3,1,2,29,1,8,5,2,NA,,47,"1,  2, 1, NA,"
1,5,5,4,4,3,2,2,4,4,3,2,2,NA,3,3,4,4,5,5,4,4,4,2,2,2,2,2,1,2,2,4,1,1,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,4,2,2,181,NA,3,9,7,2,3,,48,"1,  4, 2, 3,"
1,4,4,4,5,2,5,2,2,5,4,5,3,3,3,2,4,2,4,4,4,4,4,2,2,2,1,2,2,2,1,5,5,2,4,4,5,5,5,2,2,2,2,1,2,1,1,2,1,2,2,1,2,11,3,9,7,2,3,,49,"1,  2, 1, 3,"
1,3,3,3,3,3,3,3,3,4,2,5,2,2,4,2,5,2,4,4,4,5,5,1,2,2,1,2,2,1,2,5,5,2,4,4,4,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,31,2,10,10,2,1,,50,"1,  2, 1, 1,"
1,4,4,3,5,3,4,4,4,3,1,4,3,4,1,1,4,4,5,5,5,5,3,1,2,2,2,2,2,2,2,5,5,5,1,4,5,5,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,9,8,2,2,,51,"1,  2, 1, 2,"
1,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,1,2,2,2,2,6,1,2,54,NA,3,5,8,2,1,,52,"1,  6, 2, 1,"
1,4,4,4,5,2,5,2,2,5,3,1,1,1,1,1,1,1,3,2,4,4,4,2,2,2,1,1,2,2,2,4,4,2,3,4,4,4,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,56,1,4,1,2,3,,53,"1,  2, 1, 3,"
1,4,2,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,1,5,4,2,2,2,2,2,2,2,2,5,5,5,NA,4,5,5,5,2,2,2,2,2,2,2,1,2,2,6,2,2,26,NA,1,9,8,2,1,,54,"1,  6, 2, 1,"
1,4,3,2,3,3,4,2,2,4,4,2,2,2,3,3,3,3,4,3,5,5,4,2,2,2,2,2,2,2,2,4,4,4,3,2,5,3,4,2,2,2,2,1,1,1,1,1,1,2,3,1,2,6,1,6,4,2,1,,55,"1,  2, 1, 1,"
1,4,2,1,1,1,2,2,2,5,2,2,1,2,2,1,2,1,5,5,5,4,4,1,2,2,1,1,2,2,2,5,5,5,2,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,54,4,9,8,2,3,,56,"1,  2, 1, 3,"
1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,1,1,2,1,1,5,5,5,3,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,35,1,3,8,2,3,,57,"1,  2, 1, 3,"
1,4,5,4,4,3,4,2,3,4,2,1,1,1,1,1,2,1,3,3,4,4,4,2,2,2,1,2,2,2,2,5,5,5,4,4,5,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,4,5,2,3,,58,"1,  2, 1, 3,"
